,number of cases,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Persons)",Number of the registered unemployed at the end of year,Average annual salary per urban employee ( Yuan),"Number of average employees on site (10,000 Persons)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GDP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Collections of public libraries (100 people),Number of employees joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)",Province,City
0,0,608.0079999999999,9.54,67.6228,31644.066666666666,62658.793333333335,58.36483333333333,257.24666666666667,36500.6,44.026666666666664,41.67,10180335.466666667,61837.46666666667,972797.7999999999,259.0,23.0,30.53,984350.8666666666,452032.80000000005,421.66771428571434,218.5466257142857,203.11905714285714,Yunnan,Lincang
1,0,262.8017142857143,3.6885714285714277,31.98663142857143,28642.0,61967.69571428572,31.211999999999996,53.70928571428571,90488.03571428571,44.19178571428571,44.6075,7879399.171428571,25607.571428571428,522155.0571428571,106.14285714285714,14.142857142857142,72.27857142857144,606709.7142857143,279168.5142857143,262.895,145.18247428571428,135.33666857142856,Inner Mongolia,Wuhai
2,1,81.66199999999999,-2.048,10.0893,8840.8,48290.96,9.762,137.615,27462.0,38.465,47.11,1000963.0,1811.6,83776.8,45.0,3.0,27.7,208099.2,99408.0,81.52199999999998,41.583999999999996,39.971779999999995,Heilongjiang,Qitaihe
3,1,286.42400000000004,13.562,24.40308,10091.2,65480.386,21.344,123.67,74308.75,51.5675,34.3675,4903749.0,41773.8,520682.8,156.4,20.0,169.86,472247.0,293083.4,286.432,149.69,136.57,Fujian,Sanming
4,1,718.8796000000001,7.924266666666667,67.71414266666667,28008.213333333333,49751.920933333335,61.795199999999994,760.757,43912.7884,48.81266666666667,38.58083333333333,11058068.506666664,58388.293333333335,766183.8266666667,340.5066666666666,10.266666666666667,25.26033333333333,796378.3866666667,487342.86666666676,716.3828333333333,,,Henan,Sanmenxia
5,1,192.944,9.894,42.4421,11774.8,73561.942,40.81,230.55,172369.6,63.90500000000001,32.6375,7830615.4,44213.8,503319.6,95.6,20.0,113.15,950668.0,283676.8,192.88,96.264,96.58,Shandong,Dongying
6,1,343.2697777777778,5.015777777777777,43.03754666666666,20061.757407407407,56835.102222222224,40.36022222222222,261.54166666666674,40623.46666666667,46.951388888888886,46.380833333333335,6468323.088888888,31523.911111111112,492354.13333333324,222.77777777777777,13.88888888888889,49.13444444444444,715180.2740740741,399020.77777777775,343.1983333333334,,,Shanxi,Linfen
7,1,262.8017142857143,3.6885714285714277,31.986631428571428,28642.000000000004,61967.69571428572,31.212000000000003,53.70928571428571,90488.03571428571,44.191785714285714,44.6075,7879399.171428572,25607.57142857143,522155.0571428572,106.14285714285714,14.142857142857142,72.27857142857144,606709.7142857143,279168.5142857143,262.895,145.18247428571428,135.33666857142856,Inner Mongolia,Ulanqab
8,1,118.238,-5.254,17.17012,21249.8,36261.094,15.582,37.04,21657.6,20.8725,37.96,1195324.6,3066.4,80321.8,50.4,8.0,70.405,387509.8,125358.8,118.244,58.82000000000001,59.52414000000001,Heilongjiang,Yichun
9,1,108.04450000000001,11.72311111111111,32.03585666666667,4973.733333333334,65996.60266666667,21.77933333333333,435.45166666666665,50681.88888888888,17.35611111111111,62.405555555555544,3109421.733333333,17339.483333333334,220778.7333333333,66.95,6.0,57.50000000000001,291752.60000000003,239962.18333333335,114.08288999999999,58.42494000000001,55.68095,Hainan,Danzhou
10,1,338.54,13.012,23.9539,16753.0,67427.276,20.362,333.54,45073.2,51.095,39.89,3097331.5,43747.2,580974.8,220.4,7.0,13.845,382331.6,160042.2,338.3615,178.24,160.102,Guizhou,Liupanshui
11,1,418.686,0.8000000000000002,29.238440000000004,17763.6,47901.14599999999,29.416,785.405,34235.4,55.445,28.8025,4551487.4,14138.8,382991.8,179.0,9.0,13.32,497156.8,130850.2,418.66600000000005,215.42,203.22,Sichuan,Neijiang
12,1,485.60070588235294,1.633323529411765,58.520343529411775,30673.75882352941,59817.757647058825,38.779294117647055,519.3082352941177,40148.57647058824,52.17161764705883,33.918676470588224,8576830.952941176,48285.23529411765,572844.3647058823,243.87058823529412,10.117647058823529,36.18176470588235,909413.4117647059,390113.71764705883,466.4069473684211,239.67368421052632,226.72842105263157,Sichuan,Liangshan
13,1,223.912,2.146,38.117459999999994,52894.8,64952.38200000001,36.29,80.61500000000002,125332.25,46.4675,50.775,13717690.2,50262.4,502135.4,94.2,17.0,99.08,898551.4,426292.0,223.89,146.4959,138.5521,Inner Mongolia,Baotou
14,1,173.65200000000002,13.886,14.314860000000001,7195.0,56024.046,12.0,511.385,63478.0,50.725,31.902500000000003,2259307.0,26910.2,263864.0,89.4,7.0,37.43,226475.8,110516.6,173.77179999999996,91.2299,82.61128000000001,Guangxi,Beihai
15,1,420.98800000000006,-2.184,38.731359999999995,34894.4,54901.29,38.752,154.02499999999995,55723.5,42.48,48.17,13717451.0,35692.2,572892.6,180.8,4.0,52.435,1230557.6,424280.4,420.98800000000006,211.614,209.43,Jilin,Jilin
16,1,260.04,0.966,37.43714,28127.0,58261.67,36.63,10.385,59238.0,40.9875,41.38500000000001,5946195.4,28748.6,476235.6,138.6,30.0,61.915,711396.4,272695.6,261.05,129.5712,123.2868,Inner Mongolia,Hulunbuir
17,1,453.69022222222225,7.88111111111111,65.13714666666667,29819.155555555557,47159.683999999994,64.19088888888889,489.7033333333333,52238.86111111111,48.833055555555546,37.18916666666667,12548569.933333334,148635.35555555555,641025.7555555556,193.2,21.88888888888889,45.56111111111111,1001762.3555555554,416121.35555555555,447.9445575,,,Hubei,Xianning
18,1,249.34599999999998,4.372,72.02188000000002,33753.2,73310.07800000001,79.084,193.615,75917.0,31.4875,67.4425,12258549.8,93956.0,726372.0,153.4,4.0,86.97,1331813.8,809163.4,281.71133333333336,142.12066666666666,,Xinjiang,Kashgar
19,1,323.502,-1.014,19.09564,13128.2,50347.45200000001,18.33,229.85,35225.5,39.1675,36.6325,5791521.2,6266.0,390072.6,164.2,2.0,20.635,721311.6,215360.8,323.502,163.89600000000004,159.846,Jilin,Siping
20,1,151.014,9.46,6.7816,3465.6,69216.032,6.0520000000000005,116.245,20077.8,27.0175,52.4375,651016.2,6678.8,329010.0,68.0,10.0,38.73,94531.2,61934.0,151.014,62.73468,59.86826,Ningxia,Guyuan
21,1,348.42625,-3.0192499999999995,39.1381875,40459.25,51116.0089375,35.114,109.14874999999998,40350.174999999996,31.950625000000002,41.120625,8171773.524999999,17395.074999999997,405282.94999999995,164.15,18.875,48.475625,737565.0562499999,249634.02500000002,314.91656888888895,158.7984444444444,156.25134888888888,Heilongjiang,Daxing
22,1,333.419975308642,4.862197530864197,43.7283162962963,20239.308230452676,57409.78158024692,41.069580246913574,267.03740740740744,41970.45185185186,46.74293209876543,46.68537037037037,6505565.67654321,33661.65679012347,491260.5703703703,216.44197530864196,12.432098765432098,50.64716049382716,720289.0823045267,404461.77530864195,333.3706481481482,,,Shanxi,Datong
23,1,265.90200000000004,6.198,25.200113333333338,15359.900000000001,56921.60399999999,22.352,143.68416666666667,29250.078999999998,34.9175,47.93375,3593322.033333333,25454.233333333337,418783.3333333333,179.33333333333334,8.5,38.222500000000004,316532.9,166692.2,265.90200000000004,,,Gansu,Tianshui
24,1,394.9106,4.093799999999999,49.58631200000001,23324.58,56740.62480000001,44.971399999999996,272.87949999999995,48900.060000000005,53.7255,35.54225,7398598.135,52372.5,634944.1599999999,215.12000000000003,16.7,41.091499999999996,741929.8400000001,354299.44,394.9106,,,Shaanxi,Ankang
25,1,298.298,14.982000000000001,18.61692,8095.8,64949.71799999999,16.788,316.165,30071.8,33.542500000000004,49.3475,1695975.0,22231.0,433299.6,143.4,4.0,17.7,254678.4,103522.6,298.29478,154.37599999999995,143.91199999999995,Guizhou,Anshun
26,1,175.26,4.168,14.8904,13314.6,56649.91,14.264000000000001,26.91,51886.25,48.6475,31.845,2054762.8,7215.4,272682.6,49.0,5.0,39.155,302911.8,102285.2,175.575,88.46422,79.68177999999997,Inner Mongolia,Bayannur
27,1,304.882,-0.23400000000000004,16.98218,16243.4,62476.628,14.515999999999998,188.565,25642.0,46.5325,37.405,3338076.4,10589.8,373972.6,165.2,32.0,36.59,391963.8,148535.6,304.70200000000006,156.38,148.3,Sichuan,Guangyuan
28,1,403.92166,4.16618,52.65690120000001,24774.698,57056.83308000001,47.76214,287.18295,50464.346000000005,53.6203,35.791225000000004,7878053.9685,56630.42999999999,642880.7359999999,217.23200000000003,17.57,42.938649999999996,791100.1640000001,380063.98400000005,403.92166,,,Shaanxi,"""Yan'an"""
29,1,361.99800000000005,-1.362,42.942935999999996,29299.8,53010.10280000001,41.620799999999996,212.567,52683.45,45.95,41.28600000000001,10272243.015999999,31889.72,503291.68,173.28,9.4,43.73700000000001,964740.8,361260.07999999996,361.99800000000005,169.4946666666667,167.5476666666667,Jilin,Yanbian
30,1,751.6039733333333,8.099084444444445,70.55470951111111,29332.894222222218,49639.45112888889,64.32354666666667,796.9987999999998,42825.57416,48.19601111111111,38.94972222222222,11499752.900444444,60484.97955555557,791609.6284444444,354.7937777777778,10.55111111111111,22.84502222222222,824399.6924444444,504323.69777777785,748.9238555555555,,,Henan,Kaifeng
31,1,170.61399999999998,2.112,8.749179999999999,5264.8,57319.01,7.75,179.76,32333.0,21.5075,67.3025,1964028.6,5258.6,205436.2,93.6,8.0,12.65,128167.8,102084.4,170.76749999999996,77.87400000000002,74.958,Hunan,Zhangjiajie
32,1,248.69666666666672,5.920000000000001,25.580428888888893,15574.91666666667,57820.24133333333,22.935666666666663,124.93402777777779,31196.658833333335,35.240833333333335,47.496458333333344,3739445.572222222,27853.005555555555,402309.05555555556,166.55555555555557,8.75,40.95458333333333,325284.18333333335,176125.30000000002,248.69666666666672,,,Gansu,Zhangye
33,1,608.0079999999999,9.54,67.6228,31644.066666666666,62658.793333333335,58.36483333333332,257.24666666666667,36500.6,44.02666666666667,41.67,10180335.466666669,61837.46666666666,972797.8,259.0,23.0,30.530000000000005,984350.8666666666,452032.8,421.66771428571434,218.5466257142857,203.11905714285712,Yunnan,Dehong
34,1,522.506,4.606,26.331879999999998,42752.4,55104.575999999994,23.688000000000002,187.99,27551.6,38.55,47.5075,5603140.2,28770.0,639704.0,358.0,5.0,31.57,561108.8,297304.4,522.1324999999998,255.646,236.97799999999998,Hunan,Huaihua
35,1,608.0079999999999,9.54,67.6228,31644.06666666667,62658.793333333335,58.36483333333332,257.2466666666666,36500.6,44.026666666666664,41.67,10180335.466666669,61837.46666666666,972797.8,259.0,23.0,30.53,984350.8666666668,452032.8,458.22117857142865,237.53580392857143,220.6830892857143,Yunnan,Nujiang
36,1,470.54669135802465,7.309456790123456,69.8675874074074,31921.90617283951,47766.072888888884,67.52765432098765,510.13203703703704,53107.456790123455,48.86145061728394,37.427962962962965,13440908.214814816,161095.52839506173,674366.2839506172,198.48888888888888,24.098765432098766,47.217901234567904,1072253.150617284,446627.5506172839,462.6160132499999,,,Hubei,Enshi
37,1,734.9198,7.492399999999999,58.206888000000006,39253.765,58297.1872,52.11345,537.2045,43333.311,46.03675,41.881750000000004,13487476.760000002,44369.259999999995,967700.6199999999,281.93999999999994,14.8,26.4745,1009553.1300000001,481002.57999999996,735.2996666666667,,,Hebei,Chengde
38,1,700.176,13.796,38.49203999999999,9230.4,48421.66,37.538000000000004,1332.21,32376.4,57.2925,34.0225,9618475.2,22210.0,660427.6,287.0,5.0,14.825,1419592.0,230372.0,700.308,359.07,341.2399999999999,Guangdong,Jieyang
39,1,608.0079999999999,9.54,67.6228,31644.06666666667,62658.793333333335,58.36483333333333,257.24666666666667,36500.6,44.02666666666667,41.669999999999995,10180335.466666669,61837.46666666667,972797.8000000002,259.0,23.0,30.53,984350.8666666667,452032.8000000001,458.22117857142854,237.53580392857143,220.6830892857143,Yunnan,Wenshan
40,1,249.34599999999998,4.372,72.02188000000002,33753.2,73310.07800000001,79.084,193.615,75917.0,31.4875,67.4425,12258549.8,93956.0,726372.0,153.4,4.0,86.97,1331813.8,809163.4,223.7111111111111,112.87155555555556,,Xinjiang,Changji
41,1,334.7017503429355,4.938663923182442,44.094629218107,16950.34247828075,57258.835533607686,41.42331138545953,271.0315637860083,43074.05761316872,47.512146776406034,45.79680041152264,6545593.862825789,35766.085322359395,489164.7670781893,217.09108367626882,12.813443072702333,53.93906721536351,697814.9803383631,399218.39478737995,334.5390534979424,,,Shanxi,Jinzhong
42,1,608.0079999999999,9.540000000000001,67.6228,31644.06666666667,62658.793333333335,58.36483333333332,257.2466666666666,36500.6,44.02666666666668,41.67,10180335.466666669,61837.46666666666,972797.8,259.0,23.0,30.529999999999998,984350.8666666668,452032.8000000001,468.88797619047614,242.89491992063495,225.99051698412697,Yunnan,"""Pu'er"""
43,1,168.50599999999997,7.99,18.86168,17622.2,51676.848,17.348,318.23,48591.5,54.4575,38.31,2973390.6,24483.0,253506.8,100.0,6.0,58.435,393216.0,134611.8,167.46828,84.9687,80.29690000000002,Jiangxi,Jingdezhen
44,1,338.9,1.164,25.24344,20518.4,48914.587999999996,24.741999999999997,173.02,28128.8,31.4675,45.1125,4372105.6,6750.4,345856.6,166.2,8.0,25.57,564739.8,239329.8,338.98,173.66,165.352,Liaoning,Chaoyang
45,1,608.0079999999999,9.54,67.6228,31644.066666666666,62658.793333333335,58.36483333333333,257.24666666666667,36500.6,44.02666666666668,41.67,10180335.466666669,61837.46666666666,972797.8000000002,259.0,23.0,30.529999999999998,984350.8666666668,452032.80000000005,468.8879761904762,242.89491992063495,225.99051698412694,Yunnan,Chuxiong
46,1,268.38711111111115,6.0823333333333345,27.78908370370371,12550.469444444447,57689.400555555556,25.031611111111108,140.59469907407404,31158.801972222223,36.43680555555555,47.48503472222223,4098295.100925926,31318.073148148153,433888.9648148148,183.4148148148148,9.208333333333334,31.267847222222226,353422.0472222222,192772.75,268.38711111111115,,,Gansu,Wuwei
47,1,265.10200000000003,2.26,49.49288,16406.0,67329.95599999999,42.378,453.42,77635.4,48.8275,45.5975,10778754.0,103546.8,583004.4,121.0,5.0,78.36500000000002,1503832.0,682400.0,265.142,131.20806000000002,133.90061999999998,Zhejiang,Huzhou
48,1,289.558,3.928,41.6784,21075.6,56403.96799999999,27.604,579.585,65686.8,53.0775,39.355,5731731.2,54318.8,327061.6,169.0,10.0,46.49,580541.2,325770.4,289.6975,144.912,138.918,Hunan,Xiangtan
49,1,537.0269230769231,4.822,42.29985076923078,27636.523076923077,55877.72076923078,37.49676923076924,383.27730769230766,47305.092307692306,43.32692307692308,44.23403846153846,10005441.753846154,55651.38461538462,645363.3384615385,286.8,11.384615384615385,32.72730769230769,785662.4923076923,395089.1230769231,536.0721153846154,251.11428571428573,236.0458571428571,Hunan,Xiangxi
50,1,391.754,8.466000000000001,48.9537,12219.4,59159.094000000005,47.426,401.475,63712.8,47.56999999999999,43.24,8823882.4,73383.8,585528.6,166.8,16.0,33.07,1094196.2,410036.0,391.744,197.702,194.06400000000002,Shandong,Binzhou
51,1,273.52,10.126,19.4006,8339.8,54495.982,18.958,861.0799999999998,36134.4,52.0225,40.84,4927519.8,16361.6,339595.6,138.8,7.0,23.435,784077.4,331077.4,273.378,138.458,134.91400000000002,Guangdong,Chaozhou
52,1,,,,,,,,,,,,,,,,,,,,,,Macao,Macao
53,1,764.5690382222222,7.99555674074074,72.04251814518518,29794.43383703703,49788.448804148145,65.8597831111111,791.9543866666664,43122.77483733333,48.64374518518518,38.758703703703695,11730782.70714074,62404.07152592593,810116.9236740741,360.2600296296296,10.65451851851852,22.5490237037037,836457.5652740741,519036.5176296297,761.7581125925925,,,Henan,Puyang
54,1,203.954,5.954,34.35812,23243.0,66338.61600000001,31.811999999999998,263.66,51792.4,45.48,51.135,5028518.0,18546.4,437797.6,137.2,12.0,76.41499999999998,249084.75,191644.2,122.26662,61.343320000000006,60.923300000000005,Qinghai,Yushu
55,1,193.694,-2.582,20.24986,13573.4,43700.972,18.695999999999998,76.515,34474.5,42.385,40.4625,3243537.6,9590.2,288996.6,121.0,4.0,25.76,431635.4,130031.4,193.694,97.62,96.12799999999999,Jilin,Baicheng
56,1,129.748,1.7959999999999998,44.40014,16706.2,44382.456,42.57,318.865,81672.0,51.58750000000001,38.80750000000001,3707372.4,12012.0,184166.2,71.8,3.0,49.105,659538.6,346339.8,129.654,64.72,64.93599999999999,Liaoning,Panjin
57,1,470.5466913580247,7.309456790123457,69.8675874074074,31921.906172839506,47766.072888888884,67.52765432098765,510.13203703703704,53107.45679012346,48.86145061728394,37.427962962962965,13440908.214814812,161095.52839506173,674366.2839506173,198.48888888888888,24.098765432098766,47.2179012345679,1072253.150617284,446627.55061728397,468.520807075,,,Hubei,Jingzhou
58,1,452.9875604938271,7.497802469135801,72.71148014814815,31302.936790123455,47652.95557777777,70.70781975308641,515.2217407407408,55388.1774691358,49.384345679012334,37.71500925925926,13724812.196296299,169727.7012345679,684649.4323456789,195.55777777777777,25.00864197530864,50.11719135802469,1077944.4056790124,458231.58567901235,450.63013778249996,,,Hubei,Jingmen
59,1,203.954,5.954,34.35812,23243.0,66338.61600000001,31.811999999999998,263.66,51792.4,45.48,51.135,5028518.0,18546.4,437797.6,137.2,12.0,76.41499999999998,249084.75,191644.2,204.04856,102.39914,101.64942,Qinghai,Xining
60,1,552.8280000000002,13.145999999999995,18.41014,6317.0,55651.325999999994,16.026,515.08,22593.2,40.985,39.8025,4352902.0,7056.6,532114.6,220.4,9.0,15.805,299294.0,101827.8,552.82784,293.61986,259.17998,Guangxi,Guigang
61,1,242.178,14.012,10.303720000000002,7668.6,59597.30800000001,9.0,203.37,25402.4,39.8425,38.8475,1633156.6,11184.6,303133.6,104.6,5.0,27.9,184459.6,77300.6,242.06572000000003,127.5577,114.40202000000002,Guangxi,Hezhou
62,1,119.52,-2.5620000000000003,12.11612,11905.2,47736.002,11.616,236.185,58165.75,55.4375,36.95,2201803.2,5222.6,170578.6,62.0,2.0,31.895000000000003,333416.0,74945.2,119.52,60.676,58.84,Jilin,Liaoyuan
63,1,468.55851654320986,7.715182716049382,76.04524616296297,33035.4304691358,48033.57873555555,74.06180172839507,542.5869148148147,55687.245216049385,49.08653024691357,38.11851018518519,14483688.935925925,181311.71135802468,721926.3555802468,202.69355555555552,26.709506172839507,51.76041049382716,1136384.8862469136,485121.9642469136,465.84790156074996,,,Hubei,Ezhou
64,1,420.73782600000004,3.9703979999999994,54.59977132,26247.527800000003,56266.954388,49.862353999999996,309.551245,49670.5806,52.875080000000004,36.407097500000006,8407490.625350002,60005.073,651349.3096,227.2352,19.127,42.757515,800204.3804,397941.7024,420.73782600000004,,,Shaanxi,Tongchuan
65,1,96.762,14.632,9.26208,2964.6,57086.942,7.424000000000001,152.485,71859.2,55.285,32.129999999999995,1127081.2,6997.2,146801.4,45.4,4.0,39.455,146657.2,67716.0,96.7842,52.39807999999999,44.43812,Guangxi,Fangchenggang
66,1,294.904,14.748,23.23068,12602.8,55147.314000000006,21.844,365.405,50390.4,42.1275,41.27,6380205.4,19149.4,312340.8,109.4,9.0,28.7,687975.0,194338.0,294.89599999999996,156.464,138.44799999999998,Guangdong,Yangjiang
67,1,103.522,-4.046,18.72024,16656.8,47383.93,12.06,72.61,26185.6,30.925,35.25,1265913.2,3661.8,132103.6,38.6,3.0,40.69,232863.0,83364.8,103.412,51.618,51.72418,Heilongjiang,Hegang
68,1,127.83200000000002,9.922,15.1846,9534.6,60322.834,14.774,356.6,59659.5,58.6475,33.845,1912822.4,38228.6,191501.0,84.0,6.0,34.975,181332.4,84744.2,123.28226000000002,60.23560000000001,55.81796000000001,Jiangxi,Yingtan
69,1,164.3,-2.84,21.585740000000005,9154.4,46090.615,12.702,24.78,28204.6,15.489999999999998,37.5275,1097567.0,7288.4,173036.4,75.6,6.0,20.84,270686.75,47605.2,164.262,82.774,81.28524,Heilongjiang,Heihe
70,1,530.6399166666666,12.759166666666667,40.74160583333333,19033.78888888889,68469.92541666667,35.99333333333333,327.00916666666666,38666.066666666666,39.218333333333334,45.69944444444445,4716581.975000001,66321.79166666667,856218.2666666666,305.675,10.166666666666666,63.73749999999999,528060.8416666667,264392.4166666667,440.81462,229.77285714285716,211.04514285714285,Guizhou,Qianxi
71,2,267.816,5.73,18.54618,9556.6,84847.398,17.363999999999994,153.675,55696.8,45.01750000000001,47.145,5772277.4,65995.6,578751.6,96.6,21.0,66.13,832914.6,228582.2,267.908,137.87921999999998,130.02781999999996,Zhejiang,Lishui
72,2,335.0428337143728,4.864737692424935,45.08186802011889,17543.869420311945,57386.13014845299,42.54056820606614,278.7606264288981,43933.44179240969,47.74349641822893,45.87311156835848,6640261.092028653,37500.40591373267,489965.76342021034,215.94564852918762,12.792714525224815,55.480630239292786,706767.0892648478,407919.6164304222,334.927837219936,,,Shanxi,Lüliang
73,2,786.8268407703704,7.9369938567901235,74.1999633548642,30721.70275950617,49925.27979109136,67.87496865185183,776.8213457777778,43316.58182648888,48.22299486419753,39.09545061728395,12163016.08761679,65077.62296098766,831301.5452523456,370.35736493827153,11.031486419753087,23.11429195061728,867448.0696256789,533278.0188049383,783.9001534320988,,,Henan,Shangqiu
74,2,454.5168086,4.184637799999999,58.900052452,28086.12058,56342.90622680001,53.8565894,319.01286949999997,50732.37866,52.728088,36.21205725,9120547.607885,65328.340299999996,697420.82056,245.35872,20.2397,37.3607665,857387.05844,428142.69264,454.5168086,,,Shaanxi,Shangluo
75,2,255.71,-0.06600000000000003,56.29626,9081.8,57822.196,55.56800000000001,439.665,114754.2,46.3675,46.25,14047698.0,124913.6,733440.4,104.0,15.0,127.15,1244592.6,567745.6,255.562,127.04399999999998,128.476,Shandong,Weihai
76,2,504.34456819753086,7.59010098765432,81.46560077925928,35832.59351604938,48614.804809111105,79.36218190123456,527.7801062962963,53704.169737654316,48.40193327160493,38.647861203703705,15630752.309518516,197096.58249382715,778241.3911382715,218.0429111111111,29.180456790123458,53.21745154320987,1233574.9948716052,525387.120671605,501.376191716825,,,Hubei,Xiaogan
77,2,281.486962962963,6.3757222222222225,30.25386098765433,13679.547685185187,58124.722981481485,27.183546296296296,154.5279822530864,32350.560967592595,36.49752314814815,48.762540509259274,4491402.251080248,25981.852006172838,466846.89228395064,191.38395061728394,10.57638888888889,32.035821759259264,384254.1217592593,212427.6416666667,281.486962962963,,,Gansu,Dingxi
78,2,600.318,11.776000000000002,45.0597,26700.6,50136.96400000001,42.298,319.42,32172.25,48.94,36.7775,5855514.8,124708.6,845132.8,246.2,40.0,27.25,887833.0,264089.0,581.45782,285.4098800000001,267.884,Jiangxi,Yichun
79,2,607.976,2.13,42.18300000000001,27824.4,54509.66799999999,38.95,321.9600000000001,50272.8,43.44,44.115,10511114.2,41386.8,631594.2,285.4,29.0,25.405,560036.4,300712.6,608.72,296.0060000000001,287.816,Hunan,Changde
80,2,770.2507800000001,7.847239999999999,61.17208680000001,41114.2615,58669.691119999996,54.74359499999999,581.2679499999999,43663.6621,46.168425,42.260425000000005,14292205.275999999,46743.445999999996,1004017.3019999999,297.87399999999997,13.38,26.72695,1054574.1930000002,506388.41800000006,770.6279666666667,,,Hebei,Langfang
81,2,363.914,11.0,94.73727999999998,21173.6,65094.162000000004,91.166,310.91,73423.2,54.515,40.7725,12219478.4,218797.6,991322.4,252.2,5.0,44.42,2115529.2,1271194.6,363.94199999999995,183.982,180.028,Guangdong,Huizhou
82,2,418.156,13.336000000000002,36.67338,20545.6,54440.448,33.866,219.83,29584.75,47.765,36.25750000000001,4743818.8,63517.6,589815.2,213.6,24.0,33.510000000000005,508979.6,207733.6,407.11978,207.2025,193.96542,Jiangxi,Fuzhou
83,2,213.632,-3.642,25.68336,23991.2,53730.45400000001,25.376,192.235,51681.2,52.09,41.075,6376771.4,10514.8,184520.4,104.6,9.0,49.01000000000001,1089177.2,489126.0,213.54399999999995,106.28,107.246,Liaoning,Fushun
84,2,110.11200000000001,3.9019999999999997,28.16098,14715.8,70265.962,18.614,150.575,83094.0,69.36,27.2675,3124647.2,15538.8,245734.2,53.4,6.0,75.565,435011.6,195233.0,110.25200000000001,56.08,54.08,Sichuan,Panzhihua
85,2,774.2980968217284,8.019193447242799,74.33034624518847,31010.61627680658,49977.06631049745,68.14263322864196,769.1097688296296,44358.74461492148,48.639861188477376,39.13748065843621,12361406.373457909,66936.46449172018,834017.0749358353,365.6878559341564,11.033585514403292,23.893244747325102,878638.7409340575,545217.8600586009,771.580330327572,,,Henan,Xinxiang
